Model,pubs,pct_variant_found_consistent,pct_variable_counts,Pct_unstable_count,Pct_variant_found_yes,Pct_variant_found_no,Pct_under,Pct_exact,Pct_over,Just_sem_mean,Just_sem_median,Just_sem_min,Just_sem_prop_ge_0_8,Just_sem_prop_ge_0_9,Reason_sem_mean,Reason_sem_median,Reason_sem_min,Reason_sem_prop_ge_0_8,Reason_sem_prop_ge_0_9,Semantic_mean_consolidated,Semantic_median_consolidated,Semantic_min_consolidated,Semantic_prop_ge_0_8_consolidated,Semantic_prop_ge_0_9_consolidated,Stability_index
Gemini 2.5 Pro,13,1,0,0,1,0,,,,0.935181778,0.9308410791250376,0.8781219537441547,0.9863247863247864,0.7641025641025642,0.9373399844536414,0.928663616,0.8775479014103229,1,0.7487179487179488,0.936476702,0.9295346012482276,0.8595709709020761,0.9931623931623932,0.7564102564102565,0.9681304406661254
GPT-5,11,1,0,0,1,0,,,,0.9351854703643105,0.937649364,0.89274355,1,0.9616161616161616,0.8942069411277771,0.895838201,0.8291984146291559,0.991919192,0.4585858585858586,0.9105983528223905,0.9125626661560752,0.8291984146291559,0.9959595959595959,0.7101010101010101,0.9573481028730219
o3,13,1,0,0,1,0,,,,0.8760927961422846,0.8814956362430866,0.7829728034826425,0.9504273504273505,0.31794871794871793,0.8332948776391836,0.8397443844721868,0.6986724367508521,0.7675213675213676,0.071794872,0.8504140450404241,0.8564448851805467,0.6986724367508521,0.8589743589743589,0.19487179487179487,0.9273469184453671
Claude Sonnet 4,13,1,0.15384615384615385,0.038461538461538464,1,0,,,,0.9023844141226548,0.9045646924238938,0.8219647361682012,0.9709401709401709,0.5931623931623932,0.8436045188170213,0.8532233008971581,0.694495806,0.7247863247863248,0.26495726495726496,0.8671164769392747,0.8737598575078523,0.694495806,0.8478632478632478,0.42905982905982903,0.9249587716964575
o4-mini,11,0.9090909090909091,0.18181818181818182,0.018181818181818177,0.990909091,0.009090909,,,,0.835740788,0.8407284996726296,0.6876924904910001,0.7373737373737373,0.15353535353535352,0.847770707,0.8586419007994912,0.7354137734933333,0.7919191919191918,0.197979798,0.8429587396708402,0.8514765403487465,0.6656432802026923,0.7646464646464647,0.17575757575757575,0.8972415102611889
