Model,pubs,pct_variant_found_consistent,pct_variable_counts,Pct_unstable_count,Pct_variant_found_yes,Pct_variant_found_no,Pct_under,Pct_exact,Pct_over,Just_sem_mean,Just_sem_median,Just_sem_min,Just_sem_prop_ge_0_8,Just_sem_prop_ge_0_9,Reason_sem_mean,Reason_sem_median,Reason_sem_min,Reason_sem_prop_ge_0_8,Reason_sem_prop_ge_0_9,Semantic_mean_consolidated,Semantic_median_consolidated,Semantic_min_consolidated,Semantic_prop_ge_0_8_consolidated,Semantic_prop_ge_0_9_consolidated,Stability_index
Gemini 2.5 Pro,10,1,0.2,0.06,0.8,0.2,0.54,0.22000000000000003,0.24,0.8875353395938873,0.8544844582676887,0.8006358534097672,0.8844444444444445,0.7288888888888889,0.9195427596569061,0.9063837230205536,0.861199701,0.9466666666666667,0.6,0.9067397916316986,0.8856240171194077,0.7695067912340164,0.9155555555555555,0.6644444444444444,0.9337695248126984
GPT-5,10,0.9,0.3,0.11000000000000001,0.75,0.25,0.74,0.21000000000000002,0.05,0.9190145850181579,0.923370624,0.858727217,1,0.7933333333333332,0.8939093708992004,0.8981839776039123,0.8148582696914672,0.9777777777777779,0.5111111111111111,0.9039514565467834,0.9082586359977721,0.8111307740211486,0.9888888888888889,0.6522222222222223,0.9002309889793396
o3,10,0.8,0.7,0.12999999999999998,0.71,0.29,0.65,0.13999999999999999,0.21000000000000002,0.8337665736675263,0.8367975890636444,0.7160727560520173,0.7266666666666667,0.12222222222222223,0.8278849244117736,0.8329574882984161,0.7185584425926208,0.711111111,0.093333333,0.8302375841140748,0.8344935286045073,0.6832232296466827,0.7188888888888889,0.10777777777777779,0.836412875
Claude Sonnet 4,10,0.7,0.6,0.16999999999999998,0.8300000000000001,0.17,0.22999999999999998,0.4,0.37,0.8724939942359924,0.8838918209075928,0.7512851476669311,0.8488888888888889,0.44222222222222224,0.8164775431156158,0.8149382591247558,0.6676991045475006,0.6044444444444445,0.13555555555555557,0.8388841235637665,0.8425196838378906,0.6601564824581146,0.7266666666666667,0.28888888888888886,0.8112428843379021
o4-mini,10,0.8,0.7,0.22999999999999998,0.6599999999999999,0.33999999999999997,0.58,0.18,0.24000000000000005,0.79191429,0.7981262028217315,0.6157760083675384,0.5133333333333333,0.097777778,0.7874180614948273,0.7977345049381256,0.6159563362598419,0.5022222222222222,0.075555556,0.7892165529727937,0.797891184,0.5757424503564834,0.5077777777777778,0.086666667,0.7858330879211426
